height,MS
279,5.45489
279.5,5.703892
280,5.40606
280.5,6.213221
281,6.984892
281.5,5.389135
282,5.999434
282.5,5.231765
283,5.671643
283.5,7.050063
284,6.127697
284.5,5.425476
285,4.373246
285.5,4.605009
286,4.768951
286.5,4.467349
287,4.253049
287.5,6.132555
288,6.107488
288.5,4.581405
289,6.547416
289.5,5.025624
290,5.24448
290.5,5.118644
291,6.361883
291.5,7.220293
292,5.979818
292.5,7.122526
293,4.953586
293.5,7.440854
294,6.073401
294.5,5.943927
295,6.232792
295.5,6.151237
296,5.091043
296.5,6.002693
297,7.053219
297.5,5.183441
298,6.068403
298.5,5.837638
299,5.351717
299.5,5.57287
300,6.222463
300.5,6.343612
301,4.668491
301.5,4.931572
302,5.541789
302.5,5.228613
303,5.908627
303.5,5.932185
304,5.876619
304.5,4.828748
305,5.95541
306,5.772612
306.5,4.27638
307,4.536369
307.5,4.247407
308,3.96693
308.5,4.405485
309,3.826511
309.5,5.074477
310,4.020904
310.5,4.039822
311,4.005583
311.5,4.032628
312,4.535385
312.5,4.125229
313,3.486794
313.5,4.076269
315.5,2.898829
316,3.328621
317,2.36172
317.5,2.469139
318,3.471685
318.5,2.388732
319,4.06582
319.5,4.59942
320,3.609628
320.5,2.868992
321,3.087884
321.5,3.252094
322,2.635555
322.5,2.691346
323,2.493964
323.5,2.648105
324,2.262575
324.5,2.785125
325,2.281531
325.5,0.2666861
326,2.268889
326.5,2.219488
327,1.408648
327,1.420114
327.5,2.355926
328,1.285936
328.5,1.554922
329,1.106942
329.5,1.2739
330,1.066647
330.5,1.302982
331,1.432831
331.5,1.880685
332,1.327916
332.5,1.384059
333,1.65541
333.5,1.878093
334,1.562453
334.5,0.8641458
335,1.792228
335.5,1.384221
336,1.007754
336.5,0.7199009
337,1.087873
337.5,0.6289315
338,1.573323
338.5,0.9942713
339,1.163815
339.5,1.380448
340,1.310866
340.5,1.398302
341,0.9183235
341.5,0.9094311
342,1.578611
342.5,1.138405
343,1.218677
343.5,1.725185
344,2.163546
344.5,2.284248
345,1.136032
345.5,0.7813816
346,1.451749
346.5,1.991853
347,1.353047
347.5,1.051153
348,0.7011395
348.5,0.8737145
349,0.4586379
349.5,0.7286754
350,1.450201
350.5,1.4875
351,1.27298
351.5,1.656271
352,1.72
352.5,2.12
353,1.06
353.5,1.37
354,1.2
354.5,1.11
355,0.739
355.5,0.473
356,1.63
356.5,1.69
357,1.13
357.5,1.06
358,2.16
358.5,1.86
359,1.49
359.5,2.2
360,3.41
360.5,3.33
361,2.96
361.5,2.97
362,2.42
362.5,2.68
363,3.14
363.5,2.68
364,2.7
364.5,2.54
365,1.56
365.5,1.02
366,1.11
366.5,1.78
367,0.0169
367.5,1.57
368,2.04
368.5,1.09
369,1.46
369.5,2.01
370,1.7
370.5,2.06
371,2.07
373,2.69
374.5,3.25
375,2.71
375.5,1.98
376,3.82
377,3.19
378,2.76
378.5,3.6
379,2.39
379.5,1.89
380,2.97
380.5,4.43
381,2.59
381.5,4.09
382,2.44
382.5,2.61
384.5,3.69892
385,3.471054
385.5,2.605495
386,2.886601
386.5,2.091207
387.5,3.428119
388,4.107762
388.5,2.648462
389,2.906402
389.5,3.34249
390,3.15533
390.5,3.147876
391,3.266031
391.5,2.750126
392,2.984037
392.5,3.500919
393,3.567475
393.5,2.529057
394.5,3.382474
395,3.470077
395.5,3.631147
396,2.558297
396.5,0
397,3.193179
397.5,3.136442
398,3.50181
398.5,3.460211
399,2.166887
399.5,2.007882
400,2.198181
400.5,2.371668
401,2.589303
401.5,2.386163
402,2.945873
402.5,1.71719
403,3.234001
403.5,2.866114
404,3.715631
404.5,3.069338
405,3.154257
405.5,2.931563
406,3.698707
406.5,2.544889
407,1.644282
407.5,1.879661
408,2.412719
408.5,2.00682
409,2.68464
409.5,2.322911
410,1.830344
410.5,2.684091
411,3.39923
411.5,2.586179
412,2.688307
412.5,2.060402
413,2.869686
413.5,1.657517
414,1.21637
414.5,1.815943
415,1.658456
415.5,2.372106
416,2.058011
416.5,2.75623
417,1.474266
417.5,1.64941
418,1.988733
418.5,1.548523
419,1.662552
419.5,1.657601
420,2.192525
420.5,1.97648
421,2.019798
421.5,1.349915
422,1.645591
422.5,1.48876
423,1.599484
423.5,1.566495
424,1.350602
424.1,1.430554
424.5,1.265311
425.5,1.967898
426,1.464244
426.5,1.460468
427,2.034033
427.5,1.635724
428,1.515637
428.5,1.771948
429,1.574481
429.5,1.105134
430,1.569529
430.5,1.897272
431,1.812986
431.5,1.508346
432,1.461078
432.5,1.527989
433,1.634758
433.5,1.429592
434,1.418837
434.5,2.010532
435,1.926104
435.5,1.644258
436,1.978685
436.5,1.611689
437,1.829737
437.5,1.805837
438,1.644296
438.5,1.46923
439,1.701348
439.5,1.427396
440,1.555739
440.5,1.727361
441,1.807517
441.5,1.602797
442,1.185115
442.5,1.724473
443,1.586216
443.5,1.46429
444,1.435136
444.5,1.410082
445,1.17426
445.5,1.556837
446,1.687842
446.5,1.903433
447,1.664622
447.5,1.904358
448,1.322123
448.5,1.610003
449,1.479505
449.5,2.278112
450,1.524464
450.5,1.373186
451,1.758192
451.5,1.357128
452,1.902737
452.5,1.471943
453,1.255022
453.5,1.704483
454,1.447206
454.5,1.506014
455,1.230943
455.5,1.092017
456,1.681613
456.5,1.698094
457,1.185154
457.5,1.812074
458,1.315907
458.5,1.358863
459,1.504901
