Depth (cm),Delta(13)-VPDB,Delta(18)-VPDB
176,-0.80,-1.64
179,-0.72,-1.54
182,-0.64,-1.23
185,-0.64,-0.95
188,-1.09,-2.26
191,-0.90,-2.20
197,-0.81,-1.84
200,-0.94,-2.09
203,-0.87,-2.40
206,-0.82,-2.21
209,-0.74,-2.40
212,-0.71,-2.40
218,-0.69,-1.48
221,-0.82,-2.42
224,-0.69,-1.72
227,-0.85,-2.22
233,-0.71,-2.06
242,-0.80,-1.95
245,-0.64,-1.70
248,-0.62,-1.82
272,-0.31,-1.53
275,-0.25,-1.62
278,-0.26,-1.68
281,-0.18,-1.55
299,-0.20,-1.41
308,-0.17,-1.42
311,-0.14,-1.53
332,-0.33,-1.91
335,-0.32,-1.72
338,-0.57,-2.05
341,-0.48,-1.72
344,-0.56,-2.08
347,-1.01,-2.24
356,-0.87,-2.28
359,-0.94,-2.46
362,-0.98,-2.53
365,-1.01,-2.50
371,-1.20,-2.50
374,-1.22,-2.57
377,-1.28,-2.53
380,-1.22,-2.45
383,-1.42,-2.19
386,-1.37,-2.30
389,-1.39,-2.54
392,-1.32,-2.51
395,-1.41,-2.44
398,-1.39,-2.43
401,-1.32,-2.43
404,-1.03,-1.88
407,-1.23,-2.26
410,-1.37,-2.46
413,-1.42,-2.37
416,-1.51,-1.80
419,-1.49,-2.30
422,-1.47,-2.37
431,-1.34,-2.45
434,-1.32,-2.43
437,-1.36,-2.44
440,-1.44,-2.50
443,-1.39,-2.57
446,-1.44,-2.61
449,-1.25,-2.14
452,-1.59,-2.31
458,-1.34,-2.47
464,-1.17,-2.50
467,-1.10,-2.56
476,-1.29,-2.85
485,-1.12,-2.85
488,-1.38,-2.92
491,-1.33,-2.64
497,-1.35,-2.66
500,-1.25,-2.79
503,-1.32,-2.78
506,-1.31,-2.77
509,-1.35,-2.76
518,-1.38,-2.84
524,-1.37,-2.93
527,-1.39,-2.82
536,-1.13,-3.17
539,-1.36,-3.48
542,-1.29,-3.42
545,-1.81,-4.14
551,-1.55,-3.70
560,-1.48,-3.04
566,-1.37,-2.86
572,-1.38,-2.97
581,-1.34,-2.88
590,-1.12,-2.69
600,-1.20,-2.84
608,-1.46,-3.19
616,-1.28,-3.13
624,-1.26,-3.14
632,-1.23,-2.91
640,-1.18,-2.61
648,-1.16,-2.85
656,-1.13,-2.75
664,-1.22,-2.68
664,-1.23,-2.72
672,-1.30,-2.90
680,-1.24,-3.08
684,-1.14,-3.00
688,-1.17,-2.87
688,-1.15,-2.88
696,-1.29,-3.07
704,-1.42,-3.10
712,-1.59,-3.27
720,-1.53,-3.06
728,-1.51,-2.98
736,-1.66,-3.28
740,-1.55,-2.85
740,-1.58,-3.11
744,-1.58,-3.16
744,-1.74,-3.42
752,-1.16,-2.92
752,-1.16,-2.94
756,-1.26,-3.06
760,-1.49,-3.22
760,-1.44,-3.17
764,-1.66,-3.23
768,-1.64,-3.05
772,-1.62,-3.02
776,-1.85,-3.47
780,-1.69,-3.10
784,-1.76,-3.12
788,-1.73,-2.96
792,-1.70,-3.04
800,-1.75,-3.19
808,-1.78,-3.28
812,-1.72,-2.78
816,-1.75,-3.28
816,-1.71,-3.23
820,-1.97,-2.98
824,-1.70,-3.20
824,-1.69,-3.23
824,-1.63,-2.94
828,-1.59,-3.15
832,-1.82,-3.54
832,-1.81,-3.55
836,-1.59,-2.41
840,-1.62,-3.21
848,-1.56,-3.44
856,-1.44,-3.35
856,-1.35,-3.11
860,-1.41,-3.17
864,-1.31,-3.19
872,-1.44,-3.11
872,-1.44,-3.06
876,-1.63,-3.31
876,-1.39,-2.99
880,-1.21,-3.16
880,-1.22,-3.08
884,-1.61,-3.16
884,-1.56,-2.97
888,-1.87,-3.40
888,-1.56,-3.00
892,-1.88,-3.38
892,-1.94,-3.24
896,-1.85,-3.25
900,-1.88,-3.08
900,-1.87,-3.08
904,-1.94,-2.98
904,-1.98,-3.25
908,-1.94,-3.23
908,-1.94,-3.31
912,-1.88,-3.04
