Height (m)	MS (10-8)
0	1.429
0.05	3.47293
0.15	4.07179
0.26	4.646436
0.36	4.773296
0.46	5.191156
0.56	5.435016
0.66	3.015876
0.76	5.471736
0.87	5.514382
0.97	5.329242
1.07	5.037102
1.17	5.041962
1.27	3.810822
1.37	5.612682
1.47	5.950542
1.57	5.811402
1.68	5.822048
1.78	6.005908
1.88	6.056768
1.98	5.833628
2.08	6.246488
2.18	6.137348
2.28	6.692208
2.38	6.065068
2.49	5.972714
2.59	5.902574
2.69	6.242434
2.78	5.904508
2.9	6.10394
3	6.6338
3.1	6.02166
3.2	6.24652
3.31	6.429166
3.41	6.324026
3.51	6.464886
3.61	6.407746
3.71	6.704606
3.81	7.005466
3.91	6.864326
4.02	6.627972
4.12	6.962832
4.22	6.515692
4.42	5.777412
4.52	5.968272
4.62	5.069132
4.72	5.323992
4.83	5.364638
4.93	5.506498
5.03	5.760358
5.13	5.689218
5.23	4.500078
5.34	4.437724
5.44	3.741584
5.54	3.820444
5.64	4.988304
5.74	4.763164
5.85	4.75481
5.95	4.60167
6.05	4.47953
6.15	5.20739
6.25	5.03025
6.36	4.646896
6.46	6.544756
6.56	6.594616
6.66	5.997476
6.76	5.469336
6.86	6.461196
6.96	5.468056
7.07	5.328702
7.17	4.635562
7.27	5.014422
7.37	4.313282
7.47	3.740142
7.57	4.353002
7.67	2.931862
7.78	2.017508
7.88	3.987368
7.98	6.783228
8.08	7.919088
8.18	7.956948
8.29	8.030594
8.39	7.017454
8.49	8.540314
8.59	8.073174
8.69	7.971034
8.8	7.95468
8.9	4.65554
9	5.9764
9.1	5.73726
9.2	6.19312
9.3	4.80198
9.4	4.37684
9.5	4.3687
9.61	3.281346
9.71	3.567206
9.81	6.160066
9.91	7.911926
10.1	4.71886
10.2	4.56372
10.4	8.71644
10.5	8.7643
10.52	8.224872
10.6	8.94416
10.82	9.722452
10.93	9.129098
11.13	9.701818
11.23	9.687678
11.33	9.981538
11.43	9.332398
11.53	8.782258
11.64	9.217904
11.74	9.222764
11.84	9.267624
11.94	7.541484
12.04	9.154344
12.25	10.83785
12.35	8.11171
12.45	9.08557
12.55	11.22643
12.66	9.181076
12.75	9.94915
12.85	9.81001
12.95	9.82587
13.06	7.765516
13.17	9.229162
13.27	8.849022
13.37	8.754882
13.47	8.668742
13.57	8.835602
13.67	8.981462
13.77	8.917322
13.88	9.281968
13.98	8.978828
14.08	9.168688
14.18	9.458548
14.28	8.909408
14.38	9.027268
14.48	8.732128
14.58	8.846988
14.68	9.325848
14.79	8.881494
14.89	8.690354
14.99	8.497214
15.1	5.96386
15.2	6.86972
15.3	7.98758
15.4	5.34544
15.5	7.6703
15.81	8.893666
15.91	8.598526
16	8.3836
16.12	4.000032
16.22	7.974892
16.32	3.103752
16.42	3.031612
16.52	5.947472
16.62	3.469332
16.72	2.880192
16.82	6.481052
16.93	6.899698
17.03	5.275558
17.13	6.323418
17.23	9.004278
17.43	4.366998
17.54	5.796644
17.64	5.135504
17.74	4.646364
17.84	4.668224
17.94	4.514084
18.05	3.99373
18.15	3.57159
18.25	6.08645
18.35	5.47831
18.45	6.38317
18.55	6.10103
18.66	5.108676
18.76	4.366536
18.86	4.508396
18.96	4.082256
19.06	7.908116
19.17	8.506762
19.27	7.838622
19.37	5.306482
19.47	7.282342
19.57	6.852202
19.67	4.763062
19.77	4.584922
19.87	4.621782
19.98	4.283428
20.08	5.989288
20.18	5.186148
20.28	4.054008
20.39	2.831654
20.49	5.561514
20.59	4.188374
20.69	4.361234
20.79	3.889094
20.89	3.934954
21	5.0616
21.1	4.29846
21.2	3.80132
21.3	3.04218
21.4	3.03504
21.5	2.9169
21.6	4.27076
21.71	5.535406
21.81	4.500266
21.91	4.747126
22.01	4.461986
22.11	3.330846
22.21	4.239706
22.32	6.687352
22.42	6.260212
22.52	5.522072
22.62	5.776932
22.72	4.471792
22.82	3.996652
22.93	3.487298
23.03	3.489158
23.13	5.134018
23.23	4.537878
23.33	4.850738
23.54	4.795244
23.64	4.097104
23.74	3.789964
23.84	7.967824
23.94	7.023684
24.04	6.783544
24.14	6.404404
24.25	6.12105
24.35	7.21191
24.45	3.03177
24.55	3.40863
24.65	2.97549
24.75	3.07935
24.86	4.090996
24.96	5.447856
25.06	5.476716
25.16	4.904576
25.26	4.157436
25.36	6.930296
25.47	7.025942
25.57	7.087802
25.67	5.084662
25.77	4.733522
25.87	5.255382
25.98	7.998028
26.08	9.096888
26.18	9.675748
26.28	9.595608
26.38	9.739468
26.48	9.891328
26.59	9.126974
26.69	7.186834
26.79	5.937694
26.89	5.577554
26.99	4.859414
27.09	4.224274
27.19	3.838134
27.3	3.46578
27.71	2.282906
27.81	2.399166
27.91	2.749726
28.01	2.454986
28.11	2.545746
28.21	2.624006
28.31	2.373866
28.52	4.635672
28.62	2.715132
28.72	3.585392
28.82	3.664252
28.92	7.054112
29.02	5.616972
29.13	4.881618
29.23	4.247478
29.33	4.036338
29.43	2.978898
29.53	3.532058
29.63	3.706918
29.74	6.188564
29.84	6.045424
29.94	7.114284
30.04	6.836144
30.14	7.272004
30.24	7.667864
30.35	7.63351
30.45	7.03037
30.55	6.85923
30.65	6.88509
30.75	6.06295
30.85	6.50681
30.96	5.330456
31.26	6.923036
31.36	7.022896
31.46	7.091756
31.57	7.191402
31.67	8.235262
31.77	7.664122
31.87	6.496982
31.97	8.697842
32.08	8.614488
32.18	8.665348
32.28	3.194108
32.38	5.836068
33.5	6.7131
33.6	5.09496
33.7	3.36632
33.8	4.26868
33.91	4.993326
34.01	7.604186
34.11	7.579046
34.21	7.236906
34.31	6.819766
34.41	7.830626
34.51	7.799486
34.61	7.903346
34.72	8.393992
34.82	7.777852
34.92	7.856712
35.02	7.780572
35.13	8.086218
35.23	8.312078
35.33	7.685938
35.43	7.321798
35.53	7.304658
35.63	7.073518
35.73	7.469378
36.14	6.403604
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
