Height (cm)	d13C	d18O
19200	-6.503928	-12.456686
19210	-4.831632	-6.033734
19220	-3.888888	-8.476456
19240	-5.162848	-7.250226
19250	-6.43932	-8.24744
19310	-3.373496	-7.175702
19320	-5.304184	-9.765408
19330	-3.429752	-7.139424
19350	-6.268144	-7.266178
19360	-5.92824	-7.01298
19370	-3.916672	-10.585964
19380	-4.1081808	-7.738472
19390	-5.170576	-6.731162
19400	-4.920296	-10.07596
19400	-4.2842176	-7.802584
19410	-5.694608	-12.89608
19420	-3.73169	-7.98815
19430	-4.666854	-12.40229
19440	-4.050952	-8.80252
19440	-4.327808	-7.95512
19450	-5.256706	-8.98831
19460	-3.90346	-9.5401
19460	-3.9469224	-9.607816
19470	-4.461476	-9.05224
19480	-4.716624	-10.25324
19490	-4.87287	-8.16745
19500	-3.966034	-7.24659
19510	-3.998772	-8.63622
19520	-4.313526	-7.14501
19530	-3.516378	-8.92603
19540	-4.197542	-7.53417
19540	-4.1401032	-7.529888
19550	-3.587444	-6.53994
19560	-3.84328	-7.6368
19570	-4.769788	-7.51438
19580	-4.266362	-6.99887
19590	-3.513936	-8.64636
19600	-4.890804	-7.75254
19610	-4.760968	-9.57068
19620	-4.632476	-7.28326
19630	-3.98705	-4.73075
19640	-3.324886	-8.19261
19650	-4.001738	-5.73663
19660	-3.341394	-9.70219
19670	-4.266332	-5.74628
19680	-5.149328	-8.91028
19690	-5.398984	-9.64884
19690	-4.3113984	-7.970656
19700	-3.638656	-10.40756
19710	-6.47882	-9.6347
19720	-4.124574	-7.10949
19730	-4.66864	-7.2334
19740	-4.225066	-8.08191
19750	-3.8876272	-7.183048
19760	-3.414312	-9.79612
19770	-4.01141	-8.09035
19780	-5.528558	-10.13933
19790	-3.911902	-8.86077
19790	-4.2770368	-6.199512
19800	-3.7421512	-10.394208
19810	-4.7905608	-9.749672
19820	-3.3352656	-9.064904
19830	-6.0594	-7.1234
19840	-5.96827	-11.34767
19850	-3.15992	-8.55432
19860	-3.21748	-9.01608
19870	-3.55105	-10.50205
19880	-3.95496	-9.91116
19897	-4.23801	-9.10721
19910	-3.06657	-11.68697
19917	-1.9523616	-12.439544
19930	-2.96053	-9.47013
19940	-3.05566	-8.86686
19950	-3.51535	-10.41235
19960	-0.8877416	-11.620744
19970	-1.90514	-12.66094
19980	-0.7724464	-12.797976
19990	0.3552288	-12.531008
20000	0.7975056	-10.571296
20010	1.2576864	-12.045224
20040	-2.427296	-11.903552
20050	0.387056	-12.760028
20060	0.928096	-11.80076
20070	-0.004552	-11.322274
20080	-1.38008	-11.25406
20090	-1.558768	-11.072766
20100	-2.137376	-9.128012
20110	-0.7846088	-12.195992
20120	0.1412104	-12.776064
20130	-2.108984	-11.154258
20140	-2.055688	-11.240306
20150	-1.827472	-11.313814
20160	-2.21804	-10.92083
20170	-1.8202	-8.71775
20180	-1.844592	-9.545504
20190	-2.204904	-9.987798
20200	-2.567024	-11.493488
20210	-1.78806	-11.17926
20220	-4.61428	-12.25988
20230	-0.07838	-12.9556
20240	0.1679152	-11.979832
20250	-2.59019	-12.69699
20250	-2.061284	-10.77096
20260	-1.80762	-11.43302
20270	-2.5918	-11.0228
20280	-1.88649	-10.70129
20290	-2.02693	-11.05353
20300	-2.55858	-11.22918
20310	-2.02415	-11.14015
20320	-3.23767	-10.41707
20330	-1.76602	-11.26542
20340	-2.76423	-10.54883
20360	-2.54554	-12.09034
20370	-2.58871	-12.69191
20380	-3.26397	-10.26737
20390	-2.7881	-14.3841
