Height	d13Corg	Height (m)
800	-26.39	8
808	-27.28	8.08
816	-27.68	8.16
824	-27.92	8.24
832	-27.25	8.32
840	-28.05	8.4
848	-27.46	8.48
856	-26.28	8.56
864	-27.18	8.64
872	-26.07	8.72
880	-27.45	8.8
888	-27.84	8.88
896	-27.42	8.96
904	-27.92	9.04
912	-27.58	9.12
916	-28.29	9.16
920	-28.65	9.2
924	-28.36	9.24
928	-28.25	9.28
932	-28.29	9.32
936	-27.66	9.36
940	-27.91	9.4
944	-27.55	9.44
948	-26.77	9.48
952	-26.66	9.52
956	-26.42	9.56
964	-26.45	9.64
968	-26.79	9.68
972	-26.09	9.72
980	-25.76	9.8
984	-26.11	9.84
988	-25.9	9.88
1044	-26.42	10.44
1048	-26.56	10.48
1052	-26.24	10.52
1056	-26.16	10.56
1060	-26.21	10.6
1064	-26.04	10.64
1068	-26.77	10.68
1072	-27.9	10.72
1076	-26.7	10.76
1080	-26.61	10.8
1084	-26.73	10.84
1092	-27.09	10.92
1096	-26.73	10.96
1100	-27.16	11
1104	-26.45	11.04
1116	-26.71	11.16
1120	-26.7	11.2
1124	-26.92	11.24
1128	-26.4	11.28
1132	-27.21	11.32
1136	-27.07	11.36
1140	-27.37	11.4
1148	-27.26	11.48
1152	-27.35	11.52
1156	-27.75	11.56
1160	-26.99	11.6
1164	-27.58	11.64
1168	-28.22	11.68
1172	-27.24	11.72
1176	-27.1	11.76
1180	-27.25	11.8
1184	-27.2	11.84
1188	-27.14	11.88
1192	-26.97	11.92
1196	-27.55	11.96
1200	-27.45	12
1204	-27.44	12.04
1208	-27.5	12.08
