Height	Sample	TON	d15N	TOC	d13C
916	H32_916	1.257977202	1.092033502	22.93534415	-28.29122348
924	H32_924	2.174081783	1.16559804	45.42325618	-28.62795125
932	H32_932	2.150353306	1.38981714	44.35226208	-28.28587058
940	H32_940	1.677140965	1.612740804	32.20878131	-27.79823335
940	H32_940	1.964495428	1.403058077	39.11030766	-27.776881
948	H32_948	1.634426228	1.70676419	33.11942243	-27.61899643
956	H32_956	1.858729752	1.243842481	41.55831606	-27.28224178
964	H32_964	1.111398211	1.072838951	18.80552096	-26.97931522
972	H32_972	1.07912405	3.203509982	14.66687071	-26.53853753
980	H32_980	1.199984084	1.459537373	20.16841824	-27.58821245
988	H32_988	1.215711919	1.760451389	22.54954088	-27.70355999
1044	H32_1044	1.788184016	2.060667456	31.97732408	-27.44365032
1044	H32_1044	1.527350116	2.276870438	26.60688119	-27.6207715
1052	H32_1052	1.766479655	1.81673287	37.24953029	-27.58500577
1060	H32_1060	1.974412731	2.060428922	48.84387675	-27.67863438
1068	H32_1068	2.884945139	1.595055591	68.3223886	-27.72460614
1072	H32_1072	2.035073732	1.491904947	46.71919118	-27.900235
1096	H32_1096	2.172919679	1.569850992	46.1832179	-28.41616409
1100	H32_1100	1.444361772	1.320552888	27.04871418	-28.26423565
1100	H32_1100	1.978255969	1.523417137	40.20731575	-28.33541735
1120	H32_1120	1.800922207	1.503600102	33.52968493	-27.99215326
1132	H32_1132	1.433195134	0.791099816	27.85077888	-27.84236062
1132	H32_1132	1.896731697	1.462758517	39.35536614	-28.04135951
1144	H32_1144	2.225104153	1.733752633	46.79418963	-27.88522014
1156	H32_1156	1.513492427	2.289034733	16.53440279	-27.75078364
1168	H32_1168	1.311315647	1.352785022	21.44120214	-28.22363602
1180	H32_1180	1.527561184	1.322777414	28.60229963	-28.35037332
1192	H32_1192	2.143795492	1.855279915	51.84720688	-27.5136548
1192	H32_1192	1.967506715	1.643256959	46.78684766	-28.31214969
1208	H32_1208	1.519151786	1.388503703	34.30488157	-28.12116008
