Height (m)	d13C	Height (m)	d18O
36.07307995	-0.457444444	36.07307995	-2.382111111
35.73779995	0.312555556	35.73779995	-0.672111111
35.47871995	0.531555556	35.47871995	-1.281111111
35.15867995	0.446941176	35.15867995	-1.052411765
35.15867995	0.507941176	35.15867995	-1.098411765
34.85387995	0.798555556	34.85387995	-0.953111111
34.51859995	-0.066444444	34.51859995	-0.573111111
34.24427995	1.309555556	34.24427995	-0.865111111
33.96995995	1.366285714	33.96995995	-0.998809524
33.63467995	0.500555556	33.63467995	-4.415111111
33.42131995	1.342941176	33.42131995	-0.751411765
33.42131995	1.400941176	33.42131995	-0.653411765
32.23259995	0.178555556	32.23259995	-4.595111111
32.11067995	0.985555556	32.11067995	-1.743111111
31.83635995	1.659555556	31.83635995	-1.611111111
31.83635995	1.670941176	31.83635995	-1.696411765
31.50107995	1.871555556	31.50107995	-0.975111111
31.50107995	1.857941176	31.50107995	-1.119411765
31.22675995	1.921555556	31.22675995	-1.073111111
31.22675995	1.896941176	31.22675995	-1.199411765
30.96767995	1.527941176	30.96767995	-2.771411765
30.96767995	1.678941176	30.96767995	-2.580411765
30.96767995	1.73175	30.96767995	-2.10225
30.61715995	2.261555556	30.61715995	-0.467111111
30.61715995	2.176941176	30.61715995	-0.557411765
30.31235995	2.163555556	30.31235995	-0.913111111
30.00755995	2.174555556	30.00755995	-0.895111111
29.79419995	2.315555556	29.79419995	-1.223111111
29.79419995	2.244941176	29.79419995	-1.579411765
29.79419995	2.24975	29.79419995	-1.41125
29.79419995	2.16175	29.79419995	-1.45925
29.39795996	1.359941176	29.39795996	-4.374411765
29.39795996	1.272941176	29.39795996	-4.403411765
29.03219996	1.95275	29.03219996	-1.11325
28.94075996	1.041285714	28.94075996	-1.543809524
28.63595996	-2.615714286	28.63595996	-5.827809524
28.36163996	-2.059714286	28.36163996	-5.787809524
28.02635996	-1.164714286	28.02635996	-5.506809524
27.69107996	-1.098714286	27.69107996	-5.420809524
27.41675996	-1.374444444	27.41675996	-5.675111111
27.11195996	-1.273714286	27.11195996	-5.807809524
26.80715996	-1.364058824	26.80715996	-5.842411765
26.80715996	-1.395058824	26.80715996	-5.853411765
26.50235996	-0.792444444	26.50235996	-2.802111111
26.31947996	-0.809444444	26.31947996	-3.513111111
26.19755996	-0.847444444	26.19755996	-2.568111111
26.04515996	-0.912444444	26.04515996	-3.054111111
25.74035996	-0.855444444	25.74035996	-4.413111111
25.43555996	-0.830444444	25.43555996	-2.707111111
25.13075996	-0.731444444	25.13075996	-2.627111111
24.82595996	-0.758444444	24.82595996	-4.053111111
24.50591996	-1.255444444	24.50591996	-5.337111111
24.21635996	-1.009444444	24.21635996	-4.647111111
23.91155996	-0.857444444	23.91155996	-4.018111111
23.60675996	-0.909444444	23.60675996	-4.554111111
23.30195996	-1.078444444	23.30195996	-4.231111111
23.27147996	-0.977444444	23.27147996	-5.298111111
23.01239997	-0.967444444	23.01239997	-4.991111111
22.70759997	-1.224714286	22.70759997	-5.214809524
22.37231997	-1.064444444	22.37231997	-3.856111111
22.09799997	-1.259058824	22.09799997	-5.213411765
21.77795997	-1.074444444	21.77795997	-4.658111111
21.45791997	-1.040444444	21.45791997	-5.459111111
21.16835997	-1.767444444	21.16835997	-4.970111111
20.86355997	-0.977058824	20.86355997	-4.132411765
20.54351997	-1.219444444	20.54351997	-4.424111111
20.25395997	-1.340444444	20.25395997	-5.209111111
19.97963997	-1.227444444	19.97963997	-5.272111111
19.64435997	-1.419444444	19.64435997	-4.693111111
19.33955997	-1.223058824	19.33955997	-2.466411765
19.03475997	-1.084444444	19.03475997	-2.231111111
18.72995997	-2.197444444	18.72995997	-4.951111111
18.42515997	-1.816444444	18.42515997	-5.024111111
18.10511997	-2.320444444	18.10511997	-4.685111111
17.81555997	-1.439444444	17.81555997	-3.881111111
17.51075997	-1.264444444	17.51075997	-2.736111111
17.20595997	-1.315058824	17.20595997	-1.335411765
16.90115997	-1.126444444	16.90115997	-3.289111111
16.59635997	-1.107444444	16.59635997	-5.415111111
16.29155998	-1.100444444	16.29155998	-5.539111111
15.97151998	-1.312058824	15.97151998	-1.014411765
15.40763998	-1.275444444	15.40763998	-4.985111111
15.07235998	-0.994444444	15.07235998	-3.819111111
14.76755998	-1.246444444	14.76755998	-1.104111111
14.46275998	-1.302714286	14.46275998	-1.259809524
14.15795998	-1.426714286	14.15795998	-1.499809524
13.85315998	-1.462058824	13.85315998	-1.684411765
13.85315998	-1.463058824	13.85315998	-1.676411765
13.54835998	-1.332714286	13.54835998	-1.506809524
13.24355998	-1.369714286	13.24355998	-1.583809524
12.93875998	-1.365714286	12.93875998	-1.475809524
12.63395998	-1.314714286	12.63395998	-1.216809524
12.32915998	-1.218714286	12.32915998	-1.099809524
12.03959998	-1.441714286	12.03959998	-1.020809524
11.71955998	-1.369714286	11.71955998	-1.061809524
11.41475998	-1.256444444	11.41475998	-1.206111111
11.10995998	-1.218714286	11.10995998	-1.195809524
10.80515998	-1.162444444	10.80515998	-1.259111111
10.50035998	-0.837444444	10.50035998	-4.602111111
10.19555998	-1.144444444	10.19555998	-1.291111111
9.890759985	-0.610444444	9.890759985	-5.183111111
9.585959985	-0.635444444	9.585959985	-5.205111111
9.281159986	-1.186444444	9.281159986	-2.462111111
8.976359986	-0.881444444	8.976359986	-4.453111111
8.671559987	-1.012444444	8.671559987	-0.787111111
8.366759987	-0.865444444	8.366759987	-4.990111111
8.061959988	-1.10825	8.061959988	-0.91725
8.061959988	-1.23625	8.061959988	-0.98625
7.757159988	-0.703444444	7.757159988	-5.709111111
7.452359989	-0.950444444	7.452359989	-5.165111111
7.147559989	-1.096444444	7.147559989	-4.396111111
6.84275999	-1.074444444	6.84275999	-3.847111111
6.53795999	-1.169444444	6.53795999	-3.304111111
6.233159991	-1.117058824	6.233159991	-3.411411765
6.080759991	-1.234444444	6.080759991	-3.331111111
5.775959991	-0.988444444	5.775959991	-2.992111111
5.471159992	-1.138444444	5.471159992	-3.860111111
5.166359992	-1.053058824	5.166359992	-2.133411765
4.861559993	-0.893058824	4.861559993	-1.265411765
4.556759993	-0.862058824	4.556759993	-1.020411765
4.251959994	-1.384058824	4.251959994	-1.992411765
3.947159994	-0.906058824	3.947159994	-2.024411765
3.642359994	-1.065058824	3.642359994	-2.206411765
3.337559995	-0.91525	3.337559995	-2.37825
3.032759995	-1.090058824	3.032759995	-2.586411765
2.880359996	-0.891058824	2.880359996	-2.638411765
2.575559996	-1.065058824	2.575559996	-2.732411765
2.270759997	-1.205058824	2.270759997	-2.659411765
1.965959997	-1.092058824	1.965959997	-2.659411765
1.661159997	-1.968714286	1.661159997	-3.831809524
1.356359998	-0.999058824	1.356359998	-2.498411765
1.051559998	-1.120058824	1.051559998	-2.463411765
0.746759999	-1.131058824	0.746759999	-2.287411765
0.350519999	-0.878058824	0.350519999	-1.979411765
0.13716	-0.470714286	0.13716	-1.469809524
0	-0.304058824	0	-0.959411765
-0.10668	-0.486714286	-0.10668	-0.862809524
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
